대림	200314	서울특별시 영등포구 대림로 211 화성빌딩 (대림제3동)
대전가오	201123	대전광역시 동구 대전로448번길 86-22
대전송촌	201542	대전광역시 대덕구 계족산로81번길 107 (송촌동)
대치배달점	201233	서울특별시 강남구 언주로69길 7 (서울특별시  강남구 역삼동 (역삼2동)  779 )
도당	200133	경기도 부천시 원미구 길주로 307 로얄프라자 (중3동) 로얄프라자2층 207
독산	201510	서울특별시 금천구 시흥대로 368 용구빌딩 (독산제2동)
돈암	200093	서울특별시 성북구 동소문로20나길 47 (서울특별시  성북구 동선동1가 (동선동)  121-6 )
동김해배달점	201492	경남 김해시 삼안로 195번길 41 , 1층
동탄1신도시	201096	경기도 화성시 동탄중심상가2길 29 203호 (경기도 화성시 반송동 (동탄1동)  88-6 )
동해나안	201742	강원특별자치도 동해시 효자남길 8-17
등촌	200159	서울특별시 강서구 강서로56길 50 부영빌딩 (등촌제3동) 주양빌딩 1층
마곡배달점	201302	서울특별시 강서구 양천로30길 123-9, 상가동 102호
망원배달점	201491	서울특별시 마포구 월드컵로 161 (서울특별시  마포구 망원동 (망원제2동)  472-15 )
먹골역	201565	서울시 중랑구 동일로 865, 1층
명동	201146	서울시 중구 명동9길 21 명동포커스빌딩 2층
목동사거리	201644	서울특별시 양천구 국회대로 265 (목4동) 2층
미사강변배달점	201351	경기도 하남시 미사강변중앙로 193 (경기도  하남시 망월동 (미사1동)  1098 )
미아역배달점	201712	서울시 강북구 도봉로 145,1층 (미아동)
반포	201447	서울특별시 서초구 서초중앙로 238
방이배달점	201678	서울특별시 송파구 오금로31가길 19, 1층 102호(방이동)
보라매	201675	서울특별시 동작구 보라매로5가길 16 보라매아카데미타워 (신대방제2동) 218
봉천현대시장배달점	201281	서울특별시 관악구 은천로25길 63
부산광안	200577	부산광역시 수영구 광일로 10, 1층
부산명지배달점	201484	부산 강서구 명지국제1로 56-2(제이티프라자 106호)
부산사직배달점	201328	부산광역시 동래구 사직동 45-56
부산온천배달점	201496	부산 동래구 온천장로 108-6
부산하단배달점	201323	부산광역시 사하구 낙동대로 499  (하단동 511-24)
부산해운대중동배달점	201760	부산광역시 해운대구 좌동순환로 502, 105동(중동, 이룸제이타워)
부천상동	200319	경기도 부천시 원미구 소향로 35 월드 프라자 (상2동) 202
부천심곡배달점	201694	경기 부천시 경인로 190, 부천라비앙로제 104호
부천역곡	201684	경기도 부천시 원미구 부일로 732  (역곡동)
부천옥길배달점	201216	경기도 부천시 양지로152번길 15-6 (경기도  부천시 옥길동 (범박동)  705-1 )
부천원종배달점	201303	경기도 부천시 원종로 82
부평시장역	201078	인천광역시 부평구 부평대로71번길 10-3 (인천광역시 부평구 부평동 (부평1동)  529-169 )
북동탄배달점	201553	경기도 화성시 청계동 525 호반베르디움 단지내 상가 1층 107호
상계역	201682	서울특별시 노원구 상계로 146, 1층 (중앙프라자)
상도배달점	201412	서울 동작구 상도로15길 104, 1층
서산대산	201506	충청남도 서산시 명지3로 14
서산배달점	201741	충청남도 서산시 율지16로 25, 1층
서산테크노밸리	201090	충청남도 서산시 성연3로 99 (성연면 오사리 1789)
서초	201293	서울특별시 서초구 효령로53길 21 (서초3동) 신성1층 102
서판교배달점	201299	경기도 성남시 분당구 판교동 619-14
성남수진역배달점	201716	경기도 성남시 중원구 광명로100번길 4 신동아 파밀리에 B04호
성내배달점	201479	서울 강동구 풍성로52길 29 1층
수원권선배달점	201406	경기도 수원시 권선구 동수원로177번길 40
수원매탄배달점	201508	경기도 수원시 영통구 인계로 254, 상가동 1층 105호
수원영통	201621	경기도 수원시 영통구 매영로345번길 95
수원천천배달점	201417	경기도 수원시 장안구 정자로 28, 1층 우측호 (천천동)
수원화서	201327	경기도 수원시 팔달구 화서동 206-5
수유역	200482	서울특별시 강북구 한천로 1054 (수유제3동)
순천신대	201050	전라남도 순천시 해룡면 향매로 141 (신대리 1998-3)
순천연향	201608	전라남도 순천시 연향상가7길 25 (연향동1323-1)
순천오천	201449	전라남도 순천시 오천6길 6-6 (오천동 958-1)
시흥능곡배달점	201757	경기도 시흥시 승지로 59번길 12, 1층 109호 (능곡동, 시티타워)
시흥대야	200492	경기도 시흥시 비둘기공원6길 19 청경프라자 (대야동) 청경프라자 202호
